"soort","aanwezigheid","lengtegraad","breedtegraad","provincie"
"Ichthyosaura alpestris",1,5.496329,51.503274,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.887648,50.775417,"Limburg"
"Ichthyosaura alpestris",1,5.114156,51.379945,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.967393,51.497147,"Limburg"
"Ichthyosaura alpestris",1,4.305315,51.460238,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.681828,50.83006,"Limburg"
"Ichthyosaura alpestris",1,4.85,51.6,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.6,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.15,52,"Utrecht"
"Ichthyosaura alpestris",1,5.7,51.25,"Limburg"
"Ichthyosaura alpestris",1,5.7,51.25,"Limburg"
"Ichthyosaura alpestris",1,5.15,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.45,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.6,"Noord-Brabant"
"Ichthyosaura alpestris",1,6.15,52.85,"Drenthe"
"Ichthyosaura alpestris",1,6.15,52.85,"Drenthe"
"Ichthyosaura alpestris",1,5.55,51.5,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.75,"Gelderland"
"Ichthyosaura alpestris",1,5.75,51,"Limburg"
"Ichthyosaura alpestris",1,4.55,51.9,"Zuid-Holland"
"Ichthyosaura alpestris",1,4.9,51.5,"Noord-Brabant"
"Ichthyosaura alpestris",1,3.6,51.5,"Zeeland"
"Ichthyosaura alpestris",1,5.4,51.3,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.45,52.5,"Flevoland"
"Ichthyosaura alpestris",1,6.1,51.3,"Limburg"
"Ichthyosaura alpestris",1,4.85,51.6,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.6,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.9,51.8,"Gelderland"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.15,51.3,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.5,51.4,"Noord-Brabant"
"Ichthyosaura alpestris",1,6.75,52.95,"Drenthe"
"Ichthyosaura alpestris",1,6.5,53,"Drenthe"
"Ichthyosaura alpestris",1,4.3,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.85,51.55,"Noord-Brabant"
"Ichthyosaura alpestris",1,6.6,52.9,"Drenthe"
"Ichthyosaura alpestris",1,4.6,51.5,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.45,52.5,"Flevoland"
"Ichthyosaura alpestris",1,3.55,51.45,"Zeeland"
"Ichthyosaura alpestris",1,4.9,51.5,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.9,51.5,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.9,51.5,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.9,51.5,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.9,51.5,"Noord-Brabant"
"Ichthyosaura alpestris",1,4.9,51.5,"Noord-Brabant"
"Ichthyosaura alpestris",1,3.55,51.45,"Zeeland"
"Ichthyosaura alpestris",1,5.25,52.1,"Utrecht"
"Ichthyosaura alpestris",1,5.9,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.9,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.9,50.8,"Limburg"
"Ichthyosaura alpestris",1,5.5,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.2,52.1,"Utrecht"
"Ichthyosaura alpestris",1,5.4,51.45,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.85,51.7,"Noord-Brabant"
"Ichthyosaura alpestris",1,5.8,50.85,"Limburg"
"Ichthyosaura alpestris",1,5.6,51.7,"Noord-Brabant"
